I2,N,YA
KIDDER,CornStover,"95,050"
KIDDER,WheatStraw,"4,365"
BARNES,CornStover,"362,600"
BARNES,WheatStraw,"4,509"
CASS,CornStover,"1,139,675"
CASS,WheatStraw,"3,107"
BURLEIGH,CornStover,"150,075"
BURLEIGH,WheatStraw,"9,108"
EMMONS,CornStover,"314,900"
EMMONS,WheatStraw,"15,421"
MCINTOSH,CornStover,"145,975"
MCINTOSH,WheatStraw,"8,883"
RANSOM,CornStover,"307,625"
RANSOM,WheatStraw,"2,737"
ADAMS,CornStover,"48,475"
ADAMS,WheatStraw,"23,312"
BILLINGS,CornStover,"8,275"
BILLINGS,WheatStraw,2249.99
DUNN,CornStover,"53,175"
DUNN,WheatStraw,"9,920"
