I2,N,YA
KIDDER,CornStover,95050
BARNES,CornStover,362600
CASS,CornStover,1139675
BURLEIGH,CornStover,150075
EMMONS,CornStover,314900
MCINTOSH,CornStover,145975
RANSOM,CornStover,307625
ADAMS,CornStover,48475
BILLINGS,CornStover,8275
DUNN,CornStover,53175
KIDDER,WheatStraw,4365
BARNES,WheatStraw,4509
CASS,WheatStraw,3107
BURLEIGH,WheatStraw,9108
EMMONS,WheatStraw,15421
MCINTOSH,WheatStraw,8883
RANSOM,WheatStraw,2737
ADAMS,WheatStraw,23312
BILLINGS,WheatStraw,2249.99
DUNN,WheatStraw,9920
