I1,CL
Slope,25.9
McIntosh,50.6
Golden  Valley,23
Burleigh,37
Bottineau,32.1
Burke,20.7
Bowman,28.4
Towner,28.4
Foster,44.4
Grant,30.9
Pembina,29.6
Oliver,29.6
Griggs,32.1
Divide,22.2
Ramsey,29.6
Stark,38.3
Dickey,64.2
Cass,38.3
Wells,37
Steele,34.6
Sargent,72.8
Sioux,29.6
Walsh,29.6
Grand  Forks,25.9
Adams,30.9
Traill,27.2
Stutsman,39.5
Nelson,29.6
LaMoure,53.1
Cavalier,27.2
Emmons,42
Ransom,58
Mortonne,38.3
Dunn,29.6
Sheridan,29.6
Billings,23.7
Benson,30.9
Ward,32.1
Renville,30.9
Hettinger,37
Logan,46.9
Eddy,35.8
Rolette,28.4
Pierce,33.3
Mountrail,22.5
Mercer,29.6
Kidder,38.3
McHenry,34.6
Barnes,44.4
Richland,53.1
McLean,28.4
McKenzie,20.2
Williams,24.4
