T,K,D
1,Slope,2303338
2,McIntosh,8899692
3,Golden  Valley,5322706
4,Burleigh,257606315
5,Bottineau,20368857
6,Burke,6235170
7,Bowman,9983243
8,Towner,7115951
9,Foster,10591552
10,Grant,7584857
11,Pembina,23486442
12,Oliver,5848640
13,Griggs,7667232
14,Divide,6561503
15,Ramsey,36279947
16,Stark,76669150
17,Dickey,16757020
18,Cass,474538283
19,Wells,13328944
20,Steele,6257348
21,Sargent,12131335
22,Sioux,13157857
23,Walsh,35228079
24,Grand  Forks,211834209
25,Adams,7423274
26,Traill,25729582
27,Stutsman,66850657
28,Nelson,9904036
29,LaMoure,13113501
30,Cavalier,12650932
31,Emmons,11247385
32,Ransom,17289291
33,Mortonne,87035754
34,Dunn,11203030
35,Sheridan,4185295
36,Billings,2480761
37,Benson,21100729
38,Ward,195403521
39,Renville,7825646
40,Hettinger,7847824
41,Logan,6304872
42,Eddy,7556342
43,Rolette,44156285
44,Pierce,13804186
45,Mountrail,24310194
46,Mercer,26689571
47,Kidder,7714756
48,McHenry,17092858
49,Barnes,35060160
50,Richland,51709459
51,McLean,28394104
52,McKenzie,20150246
53,Williams,70963082
