R,W,AB
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,1,39000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Adams,2,72000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,1,39000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Barnes,2,72000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,1,39000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Benson,2,72000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,1,39000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Billings,2,72000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,1,39000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bottineau,2,72000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,1,39000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Bowman,2,72000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,1,39000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burke,2,72000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,1,39000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Burleigh,2,72000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,1,39000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cass,2,72000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,1,39000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Cavalier,2,72000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,1,39000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Dickey,2,72000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,1,39000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Divide,2,72000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
Dunn,1,39000000
