I1,MS
Slope,6882
McIntosh,8504
GoldenValley,5081
Burleigh,13536
Bottineau,21623
Burke,15505
Bowman,8757
Towner,23023
Foster,5248
Grant,12728
Pembina,19249
Oliver,8984
Griggs,12155
Divide,12531
Ramsey,23556
Stark,10171
Dickey,12091
Cass,21291
Wells,12478
Steele,14277
Sargent,11433
Sioux,14789
Walsh,33116
GrandForks,29021
Adams,7614
Traill,5394
Stutsman,24066
Nelson,20096
LaMoure,15604
Cavalier,24725
Emmons,11722
Ransom,9076
Mortonne,11513
Dunn,13403
Sheridan,11909
Billings,3228
Benson,17437
Ward,17662
Renville,7274
Hettinger,9403
Logan,9302
Eddy,9304
Rolette,33508
Pierce,12710
Mountrail,16918
Mercer,6274
Kidder,20471
McHenry,21008
Barnes,15982
Richland,29425
McLean,24821
McKenzie,13275
Williams,15904
