R,W,T,Bcap
Adams,1,1,15833333
Adams,1,2,15833333
Adams,1,3,15833333
Adams,1,4,15833333
Adams,1,5,15833333
Adams,1,6,15833333
Adams,1,7,15833333
Adams,1,8,15833333
Adams,1,9,15833333
Adams,1,10,15833333
Adams,1,11,15833333
Adams,1,12,15833333
Adams,2,1,31666667
Adams,2,2,31666667
Adams,2,3,31666667
Adams,2,4,31666667
Adams,2,5,31666667
Adams,2,6,31666667
Adams,2,7,31666667
Adams,2,8,31666667
Adams,2,9,31666667
Adams,2,10,31666667
Adams,2,11,31666667
Adams,2,12,31666667
Barnes,1,1,15833333
Barnes,1,2,15833333
Barnes,1,3,15833333
Barnes,1,4,15833333
Barnes,1,5,15833333
Barnes,1,6,15833333
Barnes,1,7,15833333
Barnes,1,8,15833333
Barnes,1,9,15833333
Barnes,1,10,15833333
Barnes,1,11,15833333
Barnes,1,12,15833333
Barnes,2,1,31666667
Barnes,2,2,31666667
Barnes,2,3,31666667
Barnes,2,4,31666667
Barnes,2,5,31666667
Barnes,2,6,31666667
Barnes,2,7,31666667
Barnes,2,8,31666667
Barnes,2,9,31666667
Barnes,2,10,31666667
Barnes,2,11,31666667
Barnes,2,12,31666667
Benson,1,1,15833333
Benson,1,2,15833333
Benson,1,3,15833333
Benson,1,4,15833333
Benson,1,5,15833333
Benson,1,6,15833333
Benson,1,7,15833333
Benson,1,8,15833333
Benson,1,9,15833333
Benson,1,10,15833333
Benson,1,11,15833333
Benson,1,12,15833333
Benson,2,1,31666667
Benson,2,2,31666667
Benson,2,3,31666667
Benson,2,4,31666667
Benson,2,5,31666667
Benson,2,6,31666667
Benson,2,7,31666667
Benson,2,8,31666667
Benson,2,9,31666667
Benson,2,10,31666667
Benson,2,11,31666667
Benson,2,12,31666667
Billings,1,1,15833333
Billings,1,2,15833333
Billings,1,3,15833333
Billings,1,4,15833333
Billings,1,5,15833333
Billings,1,6,15833333
Billings,1,7,15833333
Billings,1,8,15833333
Billings,1,9,15833333
Billings,1,10,15833333
Billings,1,11,15833333
Billings,1,12,15833333
Billings,2,1,31666667
Billings,2,2,31666667
Billings,2,3,31666667
Billings,2,4,31666667
Billings,2,5,31666667
Billings,2,6,31666667
Billings,2,7,31666667
Billings,2,8,31666667
Billings,2,9,31666667
Billings,2,10,31666667
Billings,2,11,31666667
Billings,2,12,31666667
Bottineau,1,1,15833333
Bottineau,1,2,15833333
Bottineau,1,3,15833333
Bottineau,1,4,15833333
Bottineau,1,5,15833333
Bottineau,1,6,15833333
Bottineau,1,7,15833333
Bottineau,1,8,15833333
Bottineau,1,9,15833333
Bottineau,1,10,15833333
Bottineau,1,11,15833333
Bottineau,1,12,15833333
Bottineau,2,1,31666667
Bottineau,2,2,31666667
Bottineau,2,3,31666667
Bottineau,2,4,31666667
Bottineau,2,5,31666667
Bottineau,2,6,31666667
Bottineau,2,7,31666667
Bottineau,2,8,31666667
Bottineau,2,9,31666667
Bottineau,2,10,31666667
Bottineau,2,11,31666667
Bottineau,2,12,31666667
Bowman,1,1,15833333
Bowman,1,2,15833333
Bowman,1,3,15833333
Bowman,1,4,15833333
Bowman,1,5,15833333
Bowman,1,6,15833333
Bowman,1,7,15833333
Bowman,1,8,15833333
Bowman,1,9,15833333
Bowman,1,10,15833333
Bowman,1,11,15833333
Bowman,1,12,15833333
Bowman,2,1,31666667
Bowman,2,2,31666667
Bowman,2,3,31666667
Bowman,2,4,31666667
Bowman,2,5,31666667
Bowman,2,6,31666667
Bowman,2,7,31666667
Bowman,2,8,31666667
Bowman,2,9,31666667
Bowman,2,10,31666667
Bowman,2,11,31666667
Bowman,2,12,31666667
Burke,1,1,15833333
Burke,1,2,15833333
Burke,1,3,15833333
Burke,1,4,15833333
Burke,1,5,15833333
Burke,1,6,15833333
Burke,1,7,15833333
Burke,1,8,15833333
Burke,1,9,15833333
Burke,1,10,15833333
Burke,1,11,15833333
Burke,1,12,15833333
Burke,2,1,31666667
Burke,2,2,31666667
Burke,2,3,31666667
Burke,2,4,31666667
Burke,2,5,31666667
Burke,2,6,31666667
Burke,2,7,31666667
Burke,2,8,31666667
Burke,2,9,31666667
Burke,2,10,31666667
Burke,2,11,31666667
Burke,2,12,31666667
Burleigh,1,1,15833333
Burleigh,1,2,15833333
Burleigh,1,3,15833333
Burleigh,1,4,15833333
Burleigh,1,5,15833333
Burleigh,1,6,15833333
Burleigh,1,7,15833333
Burleigh,1,8,15833333
Burleigh,1,9,15833333
Burleigh,1,10,15833333
Burleigh,1,11,15833333
Burleigh,1,12,15833333
Burleigh,2,1,31666667
Burleigh,2,2,31666667
Burleigh,2,3,31666667
Burleigh,2,4,31666667
Burleigh,2,5,31666667
Burleigh,2,6,31666667
Burleigh,2,7,31666667
Burleigh,2,8,31666667
Burleigh,2,9,31666667
Burleigh,2,10,31666667
Burleigh,2,11,31666667
Burleigh,2,12,31666667
Cass,1,1,15833333
Cass,1,2,15833333
Cass,1,3,15833333
Cass,1,4,15833333
Cass,1,5,15833333
Cass,1,6,15833333
Cass,1,7,15833333
Cass,1,8,15833333
Cass,1,9,15833333
Cass,1,10,15833333
Cass,1,11,15833333
Cass,1,12,15833333
Cass,2,1,31666667
Cass,2,2,31666667
Cass,2,3,31666667
Cass,2,4,31666667
Cass,2,5,31666667
Cass,2,6,31666667
Cass,2,7,31666667
Cass,2,8,31666667
Cass,2,9,31666667
Cass,2,10,31666667
Cass,2,11,31666667
Cass,2,12,31666667
Cavalier,1,1,15833333
Cavalier,1,2,15833333
Cavalier,1,3,15833333
Cavalier,1,4,15833333
Cavalier,1,5,15833333
Cavalier,1,6,15833333
Cavalier,1,7,15833333
Cavalier,1,8,15833333
Cavalier,1,9,15833333
Cavalier,1,10,15833333
Cavalier,1,11,15833333
Cavalier,1,12,15833333
Cavalier,2,1,31666667
Cavalier,2,2,31666667
Cavalier,2,3,31666667
Cavalier,2,4,31666667
Cavalier,2,5,31666667
Cavalier,2,6,31666667
Cavalier,2,7,31666667
Cavalier,2,8,31666667
Cavalier,2,9,31666667
Cavalier,2,10,31666667
Cavalier,2,11,31666667
Cavalier,2,12,31666667
Dickey,1,1,15833333
Dickey,1,2,15833333
Dickey,1,3,15833333
Dickey,1,4,15833333
Dickey,1,5,15833333
Dickey,1,6,15833333
Dickey,1,7,15833333
Dickey,1,8,15833333
Dickey,1,9,15833333
Dickey,1,10,15833333
Dickey,1,11,15833333
Dickey,1,12,15833333
Dickey,2,1,31666667
Dickey,2,2,31666667
Dickey,2,3,31666667
Dickey,2,4,31666667
Dickey,2,5,31666667
Dickey,2,6,31666667
Dickey,2,7,31666667
Dickey,2,8,31666667
Dickey,2,9,31666667
Dickey,2,10,31666667
Dickey,2,11,31666667
Dickey,2,12,31666667
Divide,1,1,15833333
Divide,1,2,15833333
Divide,1,3,15833333
Divide,1,4,15833333
Divide,1,5,15833333
Divide,1,6,15833333
Divide,1,7,15833333
Divide,1,8,15833333
Divide,1,9,15833333
Divide,1,10,15833333
Divide,1,11,15833333
Divide,1,12,15833333
Divide,2,1,31666667
Divide,2,2,31666667
Divide,2,3,31666667
Divide,2,4,31666667
Divide,2,5,31666667
Divide,2,6,31666667
Divide,2,7,31666667
Divide,2,8,31666667
Divide,2,9,31666667
Divide,2,10,31666667
Divide,2,11,31666667
Divide,2,12,31666667
Dunn,1,1,15833333
Dunn,1,2,15833333
Dunn,1,3,15833333
Dunn,1,4,15833333
Dunn,1,5,15833333
Dunn,1,6,15833333
Dunn,1,7,15833333
Dunn,1,8,15833333
Dunn,1,9,15833333
Dunn,1,10,15833333
Dunn,1,11,15833333
Dunn,1,12,15833333
Dunn,2,1,31666667
Dunn,2,2,31666667
Dunn,2,3,31666667
Dunn,2,4,31666667
Dunn,2,5,31666667
Dunn,2,6,31666667
Dunn,2,7,31666667
Dunn,2,8,31666667
Dunn,2,9,31666667
Dunn,2,10,31666667
Dunn,2,11,31666667
Dunn,2,12,31666667
Eddy,1,1,15833333
Eddy,1,2,15833333
Eddy,1,3,15833333
Eddy,1,4,15833333
Eddy,1,5,15833333
Eddy,1,6,15833333
Eddy,1,7,15833333
Eddy,1,8,15833333
Eddy,1,9,15833333
Eddy,1,10,15833333
Eddy,1,11,15833333
Eddy,1,12,15833333
Eddy,2,1,31666667
Eddy,2,2,31666667
Eddy,2,3,31666667
Eddy,2,4,31666667
Eddy,2,5,31666667
Eddy,2,6,31666667
Eddy,2,7,31666667
Eddy,2,8,31666667
Eddy,2,9,31666667
Eddy,2,10,31666667
Eddy,2,11,31666667
Eddy,2,12,31666667
Emmons,1,1,15833333
Emmons,1,2,15833333
Emmons,1,3,15833333
Emmons,1,4,15833333
Emmons,1,5,15833333
Emmons,1,6,15833333
Emmons,1,7,15833333
Emmons,1,8,15833333
Emmons,1,9,15833333
Emmons,1,10,15833333
Emmons,1,11,15833333
Emmons,1,12,15833333
Emmons,2,1,31666667
Emmons,2,2,31666667
Emmons,2,3,31666667
Emmons,2,4,31666667
Emmons,2,5,31666667
Emmons,2,6,31666667
Emmons,2,7,31666667
Emmons,2,8,31666667
Emmons,2,9,31666667
Emmons,2,10,31666667
Emmons,2,11,31666667
Emmons,2,12,31666667
Foster,1,1,15833333
Foster,1,2,15833333
Foster,1,3,15833333
Foster,1,4,15833333
Foster,1,5,15833333
Foster,1,6,15833333
Foster,1,7,15833333
Foster,1,8,15833333
Foster,1,9,15833333
Foster,1,10,15833333
Foster,1,11,15833333
Foster,1,12,15833333
Foster,2,1,31666667
Foster,2,2,31666667
Foster,2,3,31666667
Foster,2,4,31666667
Foster,2,5,31666667
Foster,2,6,31666667
Foster,2,7,31666667
Foster,2,8,31666667
Foster,2,9,31666667
Foster,2,10,31666667
Foster,2,11,31666667
Foster,2,12,31666667
GoldenValley,1,1,15833333
GoldenValley,1,2,15833333
GoldenValley,1,3,15833333
GoldenValley,1,4,15833333
GoldenValley,1,5,15833333
GoldenValley,1,6,15833333
GoldenValley,1,7,15833333
GoldenValley,1,8,15833333
GoldenValley,1,9,15833333
GoldenValley,1,10,15833333
GoldenValley,1,11,15833333
GoldenValley,1,12,15833333
GoldenValley,2,1,31666667
GoldenValley,2,2,31666667
GoldenValley,2,3,31666667
GoldenValley,2,4,31666667
GoldenValley,2,5,31666667
GoldenValley,2,6,31666667
GoldenValley,2,7,31666667
GoldenValley,2,8,31666667
GoldenValley,2,9,31666667
GoldenValley,2,10,31666667
GoldenValley,2,11,31666667
GoldenValley,2,12,31666667
