I1,YS
Adams,14.3
Barnes,17.5
Benson,15.2
Billings,13.7
Bottineau,17.1
Bowman,14.3
Burke,15.5
Burleigh,15.6
Cass,19.5
Cavalier,16.7
Dickey,19.9
Divide,13.8
Dunn,15.1
Eddy,16.6
Emmons,15
Foster,17.4
GoldenValley,14.1
GrandForks,18.1
Grant,15.4
Griggs,19
Hettinger,14.3
Kidder,17.3
LaMoure,17.1
Logan,17.5
McHenry,15.3
McIntosh,16.8
McKenzie,13.3
McLean,16.4
Mercer,14.8
Mortonne,15.8
Mountrail,18.2
Nelson,16.6
Oliver,16.1
Pembina,16.9
Pierce,16.9
Ramsey,17.5
Ransom,18.7
Renville,16.2
Richland,20.2
Rolette,17.2
Sargent,19
Sheridan,16.2
Sioux,13.1
Slope,13.7
Stark,15.1
Steele,17.3
Stutsman,17.1
Towner,15.3
Traill,19.2
Walsh,17
Ward,17.1
Wells,15.8
Williams,13.1
